bank_name,task,fold_id,compound_id,self_compound_in_bank,alt_id_same_smiles_in_bank
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2025050,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2025395,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2025478,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2025505,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2025842,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2026238,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2026446,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2026739,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2026781,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2026864,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2026943,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2027094,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2027204,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2027206,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2027258,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2027333,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2027412,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2029167,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2029246,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2029298,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2032344,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2032421,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2032639,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2032683,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2036299,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2037712,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2038732,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2038788,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2040361,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2041125,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2041759,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2042191,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2044395,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2044844,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2044971,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID2047276,1,0
