compound_id,dtxsid,name,smiles_final,qsar_ready_smiles,ms_ready_smiles,smiles_ctx,exclusion_reason
DTXSID20903847,DTXSID20903847,EPAMED_Water_Set4-23,,,,,missing_smiles_final
DTXSID20903862,DTXSID20903862,EPAMED_Water_Set5-3,,,,,missing_smiles_final
DTXSID20903867,DTXSID20903867,EPAMED_Water_Set5-8,,,,,missing_smiles_final
DTXSID20903882,DTXSID20903882,EPAMED_Water_Set5-23,,,,,missing_smiles_final
DTXSID20903887,DTXSID20903887,EPAMED_Water_Set5-28,,,,,missing_smiles_final
DTXSID301339558,DTXSID301339558,AFFF Solberg F1 (0.5X) + F3 (0.5X),,,,,missing_smiles_final
DTXSID301339560,DTXSID301339560,AFFF Solberg H20 blank,,,,,missing_smiles_final
DTXSID301351794,DTXSID301351794,Dodecanoic acid; Propylparaben (33:67),,,,,missing_smiles_final
DTXSID301351801,DTXSID301351801,Propylparaben; Rifampicin (50:50),,,,,missing_smiles_final
DTXSID3021988,DTXSID3021988,"1-Chloro-2-propanol, technical grade (~75% 1-chloro-2-propanol; ~25% 2-chloro-1-propanol)",,,,,missing_smiles_final
DTXSID3024528,DTXSID3024528,Anise oil,,,,,missing_smiles_final
DTXSID3040352,DTXSID3040352,Dinocap,,,,,missing_smiles_final
DTXSID3042007,DTXSID3042007,Glyceryl monoricinoleate,,,,,missing_smiles_final
DTXSID3027740,DTXSID3027740,2-Ethylhexyl acid phosphate,,,,,missing_smiles_final
DTXSID3027875,DTXSID3027875,Glyceryl monooleate,,,,,missing_smiles_final
DTXSID3027877,DTXSID3027877,Diisodecylphenyl phosphite,,,,,missing_smiles_final
DTXSID3027902,DTXSID3027902,Methylcyclopentadiene dimer,,,,,missing_smiles_final
DTXSID3029237,DTXSID3029237,"Siloxanes and Silicones, di-methyl, hydroxy-terminated, hydrolysis products with silica and 3-(trimethoxysilyl)propyl methacrylate",,,,,missing_smiles_final
DTXSID3029815,DTXSID3029815,"Tridecylamine, branched and linear",,,,,missing_smiles_final
DTXSID3045352,DTXSID3045352,Colistin sulfate,,,,,missing_smiles_final
DTXSID3045354,DTXSID3045354,Vancomycin hydrochloride,,,,,missing_smiles_final
DTXSID3045984,DTXSID3045984,Cellobiose,,,,,missing_smiles_final
DTXSID3046829,DTXSID3046829,Hydroxyethyl starch,,,,,missing_smiles_final
DTXSID3047051,DTXSID3047051,Ocimene-Limonene mixture,,,,,missing_smiles_final
DTXSID3047180,DTXSID3047180,Triisodecyl trimellitate,,,,,missing_smiles_final
DTXSID3047394,DTXSID3047394,Grinstad Soft-N-Safe,,,,,missing_smiles_final
DTXSID3047427,DTXSID3047427,"2,4-DB-isooctyl ester",,,,,missing_smiles_final
DTXSID3047473,DTXSID3047473,Polymethylene polyphenyl polyisocyanate,,,,,missing_smiles_final
DTXSID3047712,DTXSID3047712,Cornmint oil,,,,,missing_smiles_final
DTXSID3048738,DTXSID3048738,"1,1'-Tetramethylenediguanidine sulfate",,,,,missing_smiles_final
DTXSID3049461,DTXSID3049461,NTP Mix73 CT1 62-GP,,,,,missing_smiles_final
DTXSID3049463,DTXSID3049463,NTP Mix75 CT1 62-GP,,,,,missing_smiles_final
DTXSID3049465,DTXSID3049465,NTP Mix77 CT1 62-GP,,,,,missing_smiles_final
DTXSID3049467,DTXSID3049467,NTP Mix79 CT1 62-GP,,,,,missing_smiles_final
DTXSID3049469,DTXSID3049469,NTP Mix81 CT1 62-GP,,,,,missing_smiles_final
DTXSID3049540,DTXSID3049540,NTP Mix85 ER AR1 18-EQP,,,,,missing_smiles_final
DTXSID3049542,DTXSID3049542,NTP Mix87 ER AR1 18-EQP,,,,,missing_smiles_final
